year,station_id,longitude,latitude,city_id,city_name_chn,city_name_eng
1994,S000232,116.1872,39.9053,,,
1994,S000233,106.6904,21.9149,,,
1994,S000234,108.2509,22.6861,205.0,南宁市,Nanning
1994,S000235,109.2923,24.2612,206.0,柳州市,Liuzhou
1994,S000236,112.6525,26.842,176.0,衡阳市,Hengyang
1994,S000237,108.2558,22.6862,205.0,南宁市,Nanning
1994,S000238,109.1191,23.1046,,,
1994,S000239,109.1187,23.137,,,
1994,S000240,109.3232,24.123,206.0,柳州市,Liuzhou
1994,S000241,111.9141,43.6242,,,
1994,S000242,112.4851,43.0463,,,
1994,S000243,112.4787,43.0419,,,
1994,S000244,113.308,41.0811,33.0,乌兰察布市,Ulanchabu
1994,S000245,113.0708,33.7546,147.0,平顶山市,Pingdingshan
1994,S000246,114.0411,33.5365,154.0,漯河市,Luohe
1994,S000247,124.0279,42.6591,,,
1994,S000248,124.3752,43.1516,50.0,四平市,Siping
1994,S000249,120.2215,36.327,,,
1994,S000250,121.3119,37.2806,,,
1994,S000251,108.5964,34.0336,,,
1994,S000252,108.8843,34.24,250.0,西安市,XiAn
1994,S000253,110.2178,21.5342,,,
1994,S000254,110.3132,21.1333,193.0,湛江市,Zhanjiang
1994,S000255,109.124,23.1047,,,
1994,S000256,110.2519,21.6133,,,
1994,S000257,112.6578,26.8465,176.0,衡阳市,Hengyang
1994,S000258,113.2415,27.7784,174.0,株洲市,Zhuzhou
1994,S000259,112.6575,26.8373,176.0,衡阳市,Hengyang
1994,S000260,113.0707,25.7395,182.0,郴州市,Chenzhou
1994,S000261,113.0594,25.7031,182.0,郴州市,Chenzhou
1994,S000262,113.6358,24.4286,,,
1994,S000263,112.962,28.2519,173.0,长沙市,Changsha
1994,S000264,114.4051,29.9381,171.0,咸宁市,Xianning
1994,S000265,113.7091,34.6512,144.0,郑州市,Zhengzhou
1994,S000266,113.8192,34.3629,,,
1994,S000267,113.5962,34.8943,144.0,郑州市,Zhengzhou
1994,S000268,113.86,35.1985,150.0,新乡市,Xinxiang
1994,S000269,125.3609,43.9208,48.0,长春市,Changchun
1994,S000270,126.0089,44.8554,,,
