year,station_id,longitude,latitude,city_id,city_name_chn,city_name_eng,province_code,province_name,prov_assign_method,nearest_city,distance_to_city_km
1994,S000071,131.0034,45.2927,57.0,鸡西市,Jixi,ANHUI,安徽省,assigned_by_nearest_city,JIXI,2.1674949591386166
1994,S000072,133.0428,45.8141,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,DONGCHENG,2.26870564749252
1994,S000073,120.8253,41.81,,,,LIAONING,辽宁省,assigned_by_nearest_city,WUJIANFANG,7.614631759306277
1994,S000074,120.8179,41.7193,,,,LIAONING,辽宁省,assigned_by_nearest_city,WUJIANFANG,13.488662142400301
1994,S000075,119.6548,41.3554,,,,LIAONING,辽宁省,assigned_by_nearest_city,ZHONGSANJIA,14.919913737450473
1994,S000076,120.8117,41.7198,,,,LIAONING,辽宁省,assigned_by_nearest_city,WUJIANFANG,13.186167199203522
1994,S000077,117.9795,40.7457,,,,HEBEI,河北省,assigned_by_nearest_city,CHENGDE,23.087285898324065
1994,S000078,119.0145,40.9353,,,,HEBEI,河北省,assigned_by_nearest_city,PINGQUAN,28.907355438230542
1994,S000079,119.0157,40.9443,,,,HEBEI,河北省,assigned_by_nearest_city,PINGQUAN,28.787429611386056
1994,S000080,119.6481,41.3514,,,,LIAONING,辽宁省,assigned_by_nearest_city,ZHONGSANJIA,15.617551670739388
1994,S000081,120.824,41.7188,,,,LIAONING,辽宁省,assigned_by_nearest_city,WUJIANFANG,13.799491180757466
1994,S000082,121.2408,41.5163,,,,LIAONING,辽宁省,assigned_by_nearest_city,YIZHOU,2.5751232323806015
1994,S000083,121.2401,41.5117,,,,LIAONING,辽宁省,assigned_by_nearest_city,YIZHOU,3.0895460598497038
1994,S000084,121.2769,41.1529,40.0,锦州市,Jinzhou,LIAONING,辽宁省,assigned_by_nearest_city,SHUANGYANG,4.768108096067333
1994,S000085,129.2642,44.0605,,,,CHONGQING,重庆市,assigned_by_nearest_city,SHIYAN,15.999752053425839
1994,S000086,129.8066,42.9952,,,,JILIN,吉林省,assigned_by_nearest_city,TUMEN,4.269794845179791
1994,S000087,130.5332,46.7819,62.0,佳木斯市,Jiamusi,JIANGXI,江西省,assigned_by_nearest_city,LEYUAN,11.816268557941866
1994,S000088,130.6412,45.8329,,,,CHONGQING,重庆市,assigned_by_nearest_city,BOLIN,10.036205361271541
1994,S000089,130.2904,45.4018,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,LINKOU,12.455250770891805
1994,S000090,130.6362,45.4873,,,,HUNAN,湖南省,assigned_by_nearest_city,LANLONG,21.919025597521113
1994,S000091,122.0325,39.5282,,,,LIAONING,辽宁省,assigned_by_nearest_city,WAFANGDIAN,11.896428814901032
1994,S000092,122.6524,40.7754,,,,GANSU,甘肃省,assigned_by_nearest_city,BALI,9.530593472508224
1994,S000093,129.6427,44.6356,64.0,牡丹江市,Mudanjiang,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,MUDANJIANG,9.364945176523769
1994,S000094,130.2685,45.2835,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,LINKOU,2.0795162463807197
1994,S000095,121.2469,41.5157,,,,LIAONING,辽宁省,assigned_by_nearest_city,YIZHOU,2.655242082901132
1994,S000096,122.248,42.0279,,,,LIAONING,辽宁省,assigned_by_nearest_city,SHIJIAZI,7.0825098978701
1994,S000097,112.7949,37.6492,20.0,晋中市,Jinzhong,SICHUAN,四川省,assigned_by_nearest_city,XIAOJING,5.299119054317669
1994,S000098,113.6923,37.7805,16.0,阳泉市,Yangquan,SHANXI,山西省,assigned_by_nearest_city,SUOHUANG,6.121938399365051
