year,station_id,station_name,province,degree_centrality,betweenness_centrality,closeness_centrality
1934,ST0149,新余市,江西省,0.02531645569620253,0.02044790652385589,7.365468603465058e-05
1934,ST0151,萍乡市,江西省,0.0379746835443038,0.014605647517039922,7.170236152549274e-05
1934,ST0153,鹰潭市,江西省,0.02531645569620253,0.038623823433950016,7.570955706659915e-05
1934,ST0154,保定市,河北省,0.012658227848101266,0.0,0.0005102281831007877
1934,ST0155,唐山市,河北省,0.02531645569620253,0.08763388510223953,0.0005945707644324784
1934,ST0156,廊坊市,河北省,0.0379746835443038,0.012333657903278157,0.0005432902842637644
1934,ST0157,张家口市,河北省,0.02531645569620253,0.04543979227523531,0.0005455940970176644
1934,ST0159,沧州市,河北省,0.012658227848101266,0.0,4.7794602377651364e-05
1934,ST0161,秦皇岛市,河北省,0.0379746835443038,0.09412528399870172,0.0005988613413459328
1934,ST0173,新乡市,河南省,0.012658227848101266,0.0,0.00017043527464792333
1934,ST0177,焦作市,河南省,0.012658227848101266,0.0,0.00017043527464792333
1934,ST0185,宁波市,浙江省,0.012658227848101266,0.0,7.760701245431272e-05
1934,ST0186,杭州市,浙江省,0.02531645569620253,0.04543979227523531,8.139875059051014e-05
1934,ST0189,绍兴市,浙江省,0.0379746835443038,0.046413502109704644,8.10570504724902e-05
1934,ST0203,鄂州市,湖北省,0.012658227848101266,0.0,0.0004270657168725123
1934,ST0206,黄石市,湖北省,0.012658227848101266,0.0,0.0004270657168725123
1934,ST0212,株洲市,湖南省,0.012658227848101266,0.0,7.112992910465147e-05
1934,ST0216,衡阳市,湖南省,0.012658227848101266,0.0,4.063326744141101e-05
1934,ST0218,郴州市,湖南省,0.012658227848101266,0.0,0.0004721457608392863
1934,ST0243,丹东市,辽宁省,0.012658227848101266,0.0,0.0006343577781872813
1934,ST0244,大连市,辽宁省,0.012658227848101266,0.0,0.0005435860208974337
1934,ST0245,抚顺市,辽宁省,0.02531645569620253,0.1142486205777345,0.0007574272539675593
1934,ST0247,本溪市,辽宁省,0.02531645569620253,0.012333657903278157,0.0007107148046155287
1934,ST0248,沈阳市,辽宁省,0.0759493670886076,0.15481986368062317,0.0007627982271505998
1934,ST0249,盘锦市,辽宁省,0.0379746835443038,0.11781888997078871,0.0007341144510588966
1934,ST0250,营口市,辽宁省,0.0379746835443038,0.024342745861733205,0.0005890094690107132
1934,ST0251,葫芦岛市,辽宁省,0.02531645569620253,0.09996754300551769,0.0006715176999350575
1934,ST0252,辽阳市,辽宁省,0.02531645569620253,0.035053554040895815,0.0006619915814343438
1934,ST0253,铁岭市,辽宁省,0.02531645569620253,0.0,0.0006746335522277478
1934,ST0254,锦州市,辽宁省,0.02531645569620253,0.10516066212268743,0.0007145728320254913
1934,ST0255,阜新市,辽宁省,0.0379746835443038,0.0,0.0006847824228336877
1934,ST0256,鞍山市,辽宁省,0.012658227848101266,0.0,0.0005678773066618028
1934,ST0269,七台河市,黑龙江省,0.012658227848101266,0.0,0.00027060002272613214
1934,ST0270,伊春市,黑龙江省,0.02531645569620253,0.0,0.0004213440472878663
1934,ST0271,佳木斯市,黑龙江省,0.012658227848101266,0.0,7.061851651399884e-06
1934,ST0273,哈尔滨市,黑龙江省,0.06329113924050633,0.007789678675754625,0.0004999401353735335
1934,ST0274,大庆市,黑龙江省,0.0379746835443038,0.03570269393054203,0.0004924166125812361
1934,ST0275,牡丹江市,黑龙江省,0.05063291139240506,0.03570269393054203,0.0004800531326973411
1934,ST0276,鸡西市,黑龙江省,0.02531645569620253,0.012333657903278157,0.00046851750280971894
1934,ST0277,鹤岗市,黑龙江省,0.012658227848101266,0.0,7.061851651399884e-06
1934,ST0279,齐齐哈尔市,黑龙江省,0.05063291139240506,0.024342745861733205,0.0004885843471876131
1935,ST0001,上海市,上海市,0.023529411764705882,0.04005602240896358,7.653792699443122e-05
1935,ST0005,思茅市,云南省,0.011764705882352941,0.0,1.2949522437799398e-05
1935,ST0006,昆明市,云南省,0.011764705882352941,0.0,6.506262887991837e-06
1935,ST0009,玉溪市,云南省,0.023529411764705882,0.00028011204481792715,1.2991456655709997e-05
1935,ST0010,乌兰察布市,内蒙古自治区,0.023529411764705882,0.02072829131652661,0.0001995550984025083
1935,ST0012,包头市,内蒙古自治区,0.023529411764705882,0.010644257703081231,0.00017787198795101472
1935,ST0013,呼伦贝尔市,内蒙古自治区,0.011764705882352941,0.0,0.0005019294915454252
1935,ST0016,赤峰市,内蒙古自治区,0.011764705882352941,0.0,2.140360565140804e-05
1935,ST0017,通辽市,内蒙古自治区,0.03529411764705882,0.04817927170868347,0.0006036300429648863
1935,ST0018,鄂尔多斯市,内蒙古自治区,0.011764705882352941,0.0,0.0001757299575188714
1935,ST0019,北京市,北京市,0.03529411764705882,0.06554621848739495,0.0005231723921825454
1935,ST0020,吉林市,吉林省,0.03529411764705882,0.03249299719887955,0.0005310917745441743
1935,ST0021,四平市,吉林省,0.047058823529411764,0.09971988795518207,0.0006598164903280706
1935,ST0022,白城市,吉林省,0.047058823529411764,0.04145658263305322,0.000600294463970788
1935,ST0023,白山市,吉林省,0.023529411764705882,0.0,0.00043518325893206493
1935,ST0024,辽源市,吉林省,0.047058823529411764,0.10084033613445377,0.0006875044240299476
1935,ST0025,通化市,吉林省,0.011764705882352941,0.0,0.0006829774187279323
